Brand;Product;Samplerate (kHz);Input (dBu);AD DR;AD DR(A);AD THD+N;AD THD+N(A);Output (dBu);DA DR;DA DR(A);DA THD+N;DA THD+N(A)
Antelope;Galaxy 32;192;22;122.0;;;-116.0;22;128.0;;;-115.0
Antelope;Galaxy 64;192;22;121.0;;;-112.0;22;128.0;;;-115.0
Apogee;Symphony MK II;192;24;;122.0;-115.0;;24;;126.0;-119.0;
Arturia;Audiofuse X8 In/Out;96;24;;119.0;;-112.0;24;;120.5;;-105.0
Avid;Pro Tools MTRX II;192;30;;;;-117.0;24;;128.0;;-110.0
Avid;HD I/O;192;;;122.0;;-114.0;;;125.0;;-110.0
Burl;B80 Mothership;192;22;115.0;;-96.0;;22;115.0;;-96.0;
Dangerous Music;Convert-8/AD;192;;118.0;121.0;-109.1;;;113.0;114.0;-106.5;
DirectOut;Andiamo Dante;192;24;117.6;119.9;-119.0;;24;119.5;122.5;-112.0;
Focusrite;RedNet A16R MKII;192;24;;120.0;-100.0;;24;;118.0;-100.0;
Focusrite;Scarlett 18i20 3rd Gen;192;22;;110.5;-94.0;;15;;108.0;-94.0;
Focusrite;Scarlett 18i20 4th Gen;192;22;;120.0;-100.0;;16;;122.0;-112.0;
Lynx Studio;Aurora (n);192;20;;119.0;-113.0;;20;;120.0;-108;
RME;M-32;192;24;113.0;116.0;-104.0;;24;114.0;118.0;-100.0;
RME;M-32 Pro II;192;24;117.0;120.7;-108.0;;24;116.5;119.8;-111.0;
RME;M-1620 Pro;192;24;117.0;120.7;-108.0;;24;119.9;;-113.0;
Prism Sound;Dream ADA-128;192;24;116.0;119.0;-111.0;;24;123.0;125.0;-111.0;
