Name,Type,D_nominal,Z_ref,BL,Cms,Mms,Re,Qes,Qms,Qts,n0,Sd,f1,f2,Zmax,Xmax,Xmech,fmin,fmax,fs,P_rms,P_max,SPL_ref,V_ref,Vas,F3_sealed,F3_ported,Volume_sealed,Volume_ported,Weight,Price,Test
B&C Speakers DE110-8,Compression,1.0,8,,,,,,,,,,,,,,,2000.0,18000.0,,25,50,106.0,2.83,,,,,,0.32,70,https://audioxpress.com/article/test-bench-b-c-speakers-de110-8-compression-driver
B&C Speakers DE360,Compression,1.0,8,,,,,,,,,,,,,,,1200.0,20000.0,,35,70,110.0,2.83,,,,,,0.5,95,https://audioxpress.com/article/test-bench-b-c-speakers-de360-8-1-exit-pro-sound-compression-driver
B&C Speakers DE550,Compression,1.0,8,,,,,,,,,,,,,,,1000.0,17000.0,,70,140,108.0,2.83,,,,,,1.17,180,https://audioxpress.com/article/test-bench-b-c-speakers-de550-8-compression-driver
B&C Speakers DE780TN,Compression,1.4,8,,,,,,,,,,,,,,,500.0,18000.0,,110,220,108.0,2.83,,,,,,1.6,250,https://audioxpress.com/article/test-bench-b-c-speakers-de780tn-8-compression-driver
B&C Speakers DE980TN,Compression,1.4,8,,,,,,,,,,,,,,,500.0,18000.0,,110,220,108.5,2.83,,,,,,2.3,380,https://audioxpress.com/article/test-bench-b-c-de980tn-8-compression-driver
B&C Speakers DE990TN,Compression,1.4,8,,,,,,,,,,,,,,,500.0,18000.0,,100,200,107.5,2.83,,,,,,2.0,400,https://audioxpress.com/article/test-bench-b-c-speakers-de990tn-compression-driver
B&C Speakers DE1085TN,Compression,2.0,8,,,,,,,,,,,,,,,500.0,20000.0,,140,280,109.0,2.83,,,,,,3.7,550,https://audioxpress.com/article/test-bench-b-c-speakers-de1085tn-2-titanium-diaphragm-compression-driver-coupled-to-a-b-c-me60-horn
B&C Speakers DE1090TN,Compression,1.4,8,,,,,,,,,,,,,,,500.0,20000.0,,120,240,108.0,2.83,,,,,,1.9,340,https://audioxpress.com/article/test-bench-b-c-speakers-de1090tn-compression-driver
B&C Speakers 10NW76,Woofer,10.0,8,20.0,,0.047,5.5,0.27,7.8,0.26,0.0185,0.0320,,,,6.8,7.0,65.0,3500.0,67.0,400,800,96.5,2.83,17.6,,,,,3.8,275,https://audioxpress.com/article/test-bench-the-10nw76-pro-sound-high-spl-10-driver-from-b-c-speakers
B&C Speakers 12NDL88,Woofer,12.0,8,19.9,,0.071,5,0.29,5,0.27,0.023,0.0522,,,,8.0,9.5,50.0,3000.0,51.0,700,1400,98.0,2.83,52.0,,62.4,,40.0,4.95,270,https://audioxpress.com/article/Test-Bench-B-C-Speakers-12NDL88-12-Woofer
B&C Speakers 14NA100-8,Woofer,14.0,8,23.5,,0.0965,5.1,0.24,5.6,0.23,0.031,0.0707,,,,8.5,8.8,45.0,2000.0,43.0,800,1600,99.0,2.83,99.5,,58.7,,60.0,8.3,370,https://audioxpress.com/article/test-bench-b-c-speakers-14na100-8-14-pro-sound-woofer
Ciare 12.00SW,Woofer,12.0,8,25.3,,0.183,6.7,0.36,6.1,0.34,0.0045,0.0523,,,,14.0,,30.0,2000.0,30.0,1000,2000,89.5,2.83,59.0,,,,,11.1,270,
Ciare 15.00SW,Woofer,15.0,8,25.0,,0.220,6.75,0.44,5.6,0.41,0.0065,0.0780,,,,14.0,,20.0,200.0,29.0,1000,2000,91.0,2.83,111.0,,,,,12.1,320,
Ciare 18.00SW,Woofer,18.0,8,32.5,,0.377,7.0,0.55,6.7,0.5,0.0073,0.1134,,,,14.0,,20.0,200.0,36.0,1000,2000,91.5,2.83,93.0,,,,,15.7,390,
Celestion CDX1-1742,Compression,1.0,8,,,,,,,,,,,,,,,1200.0,20000.0,,50,100,107.0,2.83,,,,,,1.4,80,https://audioxpress.com/article/test-bench-celestion-cdx1-1742-1-exit-pro-sound-compression-driver
Celestion CDX14-3040,Compression,1.4,8,,,,,,,,,,,,,,,500.0,18000.0,,75,150,106.5,2.83,,,,,,1.4,250,https://audioxpress.com/article/the-celestion-cdx14-3040-compression-driver
Dayton Audio AMTPRO-4,AMT,,4,,,,3.96,,,,,,,,,,,800.0,18000.0,,50,100,97.0,2.83,,,,,,,170,
Dayton Audio RSS265HF-8,Woofer,10.0,8,14.9,0.000312,0.131,6.45,0.592,2.68,0.485,0.00131,0.03464,11.986,46.581,35.62,14.3,,25.0,2000.0,24.9,350,700,84.2,2.83,52.5,43,22,24.9,79.85,,260,
Dayton Audio RSS315HFA-8,Woofer,12.0,8,18.0,0.00027,0.194,6.52,0.541,2.5,0.45,0.00188,0.05067,13.454,34.896,36.328,14.3,,25.0,1500.0,22.2,400,700,85.7,2.83,97.2,40,20,43.6,131.1,,310,
Dayton Audio RSS315HF-4,Woofer,12.0,4,14.0,0.00023,0.188,3.1,0.449,2.83,0.39,0.00254,0.05147,14.672,38.055,22.438,14.3,,23.0,1000.0,24.2,400,800,90.3,2.83,84.1,53,30,20.1,57.7,,300,
Dayton Audio RSS315HO-4,Woofer,12.0,4,20.0,0.000146,0.251,3.24,0.334,3.63,0.306,0.00276,0.05147,16.0,40.317,38.369,12.3,,26.0,600.0,26.2,700,1400,90.5,2.83,53.7,66,36,9.34,27.75,,314,
Dayton Audio RSS390HF-4,Woofer,15.0,4,15.0,0.000217,0.302,3.0,0.499,3.02,0.43,0.00302,0.08296,13.454,30.204,21.173,14.0,,18.0,800.0,19.5,500,1000,91.2,2.83,212.0,37,21,81.5,253.7,,390,
Dayton Audio RSS390HO-4,Woofer,15.0,4,19.8,0.000171,0.319,3.16,0.346,3.69,0.32,0.00462,0.08296,13.454,32.938,36.873,12.0,,21.0,600.0,21.5,800,1600,92.8,2.83,168.0,50,30,44.7,77.7,,390,
Dayton Audio RSS460HO-4,Woofer,18.0,4,23.4,0.000143,0.499,3.2,0.347,4.05,0.32,0.00499,0.1164,11.986,28.509,40.539,12.75,,20.0,500.0,18.8,900,1800,93.0,2.83,272.0,40,23,86.1,212.3,,559,
Eighteen Sound ND3ST,Compression,1.4,8,,,,6.4,,,,,,,,,,,800.0,20000.0,,120,240,112.0,2.83,,,,,,2.3,342,https://audioxpress.com/article/test-bench-eighteen-sound-nd3st-1-4-compression-driver
Eighteen Sound NSD1424BTN,Compression,1.4,8,,,,,,,,,,,,,,,800.0,20000.0,,70,140,110.0,2.83,,,,,,1.7,311,https://audioxpress.com/article/test-bench-a-1-4-pro-sound-compression-driver-from-eighteen-sound
Eminence N314T-8,Compression,1.4,8,,,,4.8,,,,,,,,,,,800.0,20000.0,550,100,200,110.9,2.83,,,,,,2.2,270,https://audioxpress.com/article/test-bench-eminence-n314t-8-with-h14ea-horn-and-n320t-8-with-h2ea-horn
Eminence N320T-8,Compression,2.0,8,,,,4.8,,,,,,,,,,,800.0,20000.0,520,100,200,110.4,2.83,,,,,,2.5,270,https://audioxpress.com/article/test-bench-eminence-n314t-8-with-h14ea-horn-and-n320t-8-with-h2ea-horn
Faital Pro HF108R,Compression,1.0,8,,,,5.8,,,,,,,,,,,1000.0,20000.0,,60,120,109.0,2.83,,,,,,0.8,150,https://audioxpress.com/article/test-bench-faital-pro-hf108r-compression-driver
JBL Selenium D220Ti-8,Compression,1.0,8,,,,,,,,,,,,,,,1000.0,21000.0,,23,46,109.0,2.83,,,,,,1.76,100,
Morel CAT 328-110,Tweeter,1.0,8,3.5,,,,,,,,,,,,,,,,650.0,200,1000,90.0,2.83,,,,,,0.573,130,
Morel ET 338,Tweeter,1.0,8,,,,,,,,,,,,,,,1800.0,20000.0,700.0,200,1000,92.5,2.83,,,,,,,220,
Morel ET 448,Tweeter,1.0,8,,,,,,,,,,,,,,,2200.0,22000.0,750.0,120,1000,92.0,2.83,,,,,,,150,
Morel ST 1048,Tweeter,1.0,8,,,0.00044,5.2,,,,,0.0006,,,,,,1400.0,22000.0,680.0,220,1000,91.5,2.83,,,,,,0.435,350,
Morel TSCT 1044,Tweeter,1.0,4,,,,4.19,,,,,0.0006,,,,1.0,,1500.0,20000.0,591.0,200,400,95.0,2.83,,,,,,0.5,425,https://audioxpress.com/article/test-bench-morel-tsct-1044-high-end-tweeter
Morel EM 1308,Midrange,2.1,8,,,,,,,0.47,,,,,,,,,,320.0,200,1000,88.0,2.83,,,,,,,240,
Morel TiCW 1058Ft,Woofer,10.0,8,15.7,0.00048,0.0812,6.3,0.35,3.58,0.3,,0.0343,,,,10.5,,,,25.0,600,3000,87.0,2.83,82.0,,,,,7.0,650,https://audioxpress.com/article/test-bench-morel-ticw-1058ft-10-ultimate-titanium-series-woofer
