Name;HF-Type;HF-Material;Ways;Crossover;Amplifier
Augspurger;Compression;Beryllium;2;Digital;D
ATC;Dome;Soft;3;Active;AB,G
Eve Audio;AMT;;3;Digital;D
Focal;Dome;Beryllium;3;Active;AB,G,H
Genelec;Dome;Metal;3;Digital;D
Hot House;;;3;Active;
Neuman;Dome;Soft/Metal;3;Active;AB
Ocean Way;Compression;Titanium;3;Passive;
PMC;Dome;Soft;3;Digital;D
PSI Audio;Dome;Polypropylene;3;Active;G,H
Quested;Dome;Soft;3;Digital;AB,D
Strauss Elektroakustik;Compression;;2;Passive;
Symphonic Acoustics;Compression;Beryllium;2;Passive;
