brand,model,ram,bandwidth,tdp,price
AMD,Radeon Instinct MI300X,192,5300,750,
AMD,Radeon Instinct MI325X,256,6000,1000,23426
AMD,Radeon Instinct MI350X,288,8000,1000,
AMD,Radeon Instinct MI210,64,1638,310,9833
AMD,Radeon AI PRO R9600D,32,640,150,
AMD,Radeon AI PRO R9700S,32,640,300,1500
AMD,Radeon RX 9060 XT,16,320,160,400
AMD,Radeon RX 9070 XT,16,640,304,650
AMD,Radeon RX 9070,16,640,220,580
AMD,EPYC 9575F x2,1536,1228,1000,40536
Apple,Mac Studio M3 Ultra,256,819,480,9200
Apple,Mac Studio M3 Ultra,512,819,480,12500
NVIDIA,4070 Ti Super,16,672,285,830
NVIDIA,5070 Ti,16,896,300,860
NVIDIA,5070,12,672,250,520
NVIDIA,5080,16,960,360,1200
NVIDIA,5090,32,1792,575,2900
NVIDIA,B200 SXM,180,8000,1000,27500
NVIDIA,H100 NVL,94,3900,400,26220
NVIDIA,H100 SXM,80,3350,700,
NVIDIA,H200 NVL,141,4800,600,26335
NVIDIA,H200 SXM,141,4800,700,
NVIDIA,L40S,48,864,350,6900
NVIDIA,RTX 6000 Ada,48,960,300,7200
NVIDIA,RTX Pro 2000 Blackwell,16,288,70,850
NVIDIA,RTX Pro 4000 Blackwell SFF,24,432,70,1500
NVIDIA,RTX Pro 4000 Blackwell,24,672,145,1300
NVIDIA,RTX Pro 4500 Blackwell,32,896,200,2400
NVIDIA,RTX Pro 5000 Blackwell,48,1344,300,4000
NVIDIA,RTX Pro 5000 Blackwell,72,1344,300,6400
NVIDIA,RTX Pro 6000 Blackwell Max-Q,96,1792,300,8000
NVIDIA,RTX Pro 6000 Blackwell Server Edition,96,1597,600,8000
NVIDIA,RTX Pro 6000 Blackwell,96,1792,600,8000
Intel,Arc B570,10,380,150,270
Intel,Arc B580,12,456,190,300
Intel,Arc Pro B50,16,224,70,380
Intel,Arc Pro B60,24,456,200,700
